id,file_name,angle_of_crack,class
0,07690.jpg,-45.45835645800043,verticle_right
1,07143.jpg,57.5876933816488,verticle_left
2,06318.jpg,46.12330271407543,verticle_left
3,14223_1.jpg,-34.99202019855866,horizonal_right
4,02121.jpg,-58.73626830562258,verticle_right
5,06176.jpg,61.64503821467594,verticle_left
6,09241.jpg,49.398705354995535,verticle_left
7,11156_1.jpg,-65.2825590889166,verticle_right
8,11631_1.jpg,66.80140948635182,verticle_left
9,07831.jpg,20.973493421320807,horizontal_left
10,03888.jpg,23.051300916473025,horizontal_left
11,13130_1.jpg,-52.1250163489018,verticle_right
12,11245_1.jpg,-54.46232220802562,verticle_right
13,04317.jpg,57.9946167919165,verticle_left
14,00627.jpg,42.66269414087618,horizontal_left
15,13839_1.jpg,77.47119229084849,verticle_left
16,18171_1.jpg,-28.024500532070256,horizonal_right
17,12085_1.jpg,-79.2157021324374,verticle_right
18,13773_1.jpg,69.94390526342458,verticle_left
19,06888.jpg,38.418055344821994,horizontal_left
20,17433_1.jpg,-61.64503821467594,verticle_right
21,11815_1.jpg,48.87852450284771,verticle_left
22,05931.jpg,89.09061955080087,verticle_left
23,04438.jpg,37.40535663140855,horizontal_left
24,00392.jpg,72.38742215707617,verticle_left
25,04073.jpg,-34.11447294534126,horizonal_right
26,03109.jpg,-33.90627698844215,horizonal_right
27,07937.jpg,-43.53119928561418,horizonal_right
28,00203.jpg,-35.639809198086674,horizonal_right
29,13861_1.jpg,-78.340707346477,verticle_right
30,02993.jpg,-29.538782259558097,horizonal_right
31,11233_1.jpg,-47.366247991455786,verticle_right
32,07403.jpg,49.48460600954463,verticle_left
33,09359.jpg,-70.75047412731827,verticle_right
34,13777_1.jpg,70.75047412731827,verticle_left
35,19052_1.jpg,-42.16588898369349,horizonal_right
36,02134.jpg,33.90627698844215,horizontal_left
37,19186_1.jpg,-47.43664824681013,verticle_right
38,05600.jpg,-82.76307797403199,verticle_right
39,03128.jpg,46.39718102729638,verticle_left
40,19318_1.jpg,-28.950995207466804,horizonal_right
41,03772.jpg,30.54757174890702,horizontal_left
42,03638.jpg,-26.175289981759935,horizonal_right
43,15029_1.jpg,-67.5741380786482,verticle_right
44,16704_1.jpg,-48.366460663429805,verticle_right
45,15935_1.jpg,76.6075022462489,verticle_left
46,10059_1.jpg,-28.072486935852957,horizonal_right
47,05198.jpg,34.64094751191629,horizontal_left
48,05912.jpg,74.89890183861456,verticle_left
49,12792_1.jpg,40.955514425818905,horizontal_left
50,08906.jpg,70.75047412731827,verticle_left
51,09354.jpg,-44.52649194126507,horizonal_right
52,11755_1.jpg,-71.56505117707799,verticle_right
53,02440.jpg,80.53767779197439,verticle_left
54,18539_1.jpg,-20.170653411850402,horizonal_right
55,16211_1.jpg,28.072486935852957,horizontal_left
56,03749.jpg,34.59228868750995,horizontal_left
57,01591.jpg,23.198590513648185,horizontal_left
58,13834_1.jpg,77.47119229084849,verticle_left
59,12922_1.jpg,55.84030545433057,verticle_left
60,00832.jpg,-68.355564859286,verticle_right
61,01275.jpg,-34.99202019855866,horizonal_right
62,11702_1.jpg,83.6598082540901,verticle_left
63,11838_1.jpg,69.14554196042165,verticle_left
64,17045_1.jpg,73.2173558547293,verticle_left
65,00082.jpg,67.5741380786482,verticle_left
66,00241.jpg,-31.890791801845708,horizonal_right
67,02350.jpg,-86.3670492605118,verticle_right
68,13488_1.jpg,61.64503821467594,verticle_left
69,10885_1.jpg,67.5741380786482,verticle_left
70,03134.jpg,49.99374398582339,verticle_left
71,15281_1.jpg,-52.19347005529554,verticle_right
72,02893.jpg,22.750976342787638,horizontal_left
73,16716_1.jpg,51.562698508937466,verticle_left
74,08698.jpg,58.240519915187214,verticle_left
75,13803_1.jpg,-72.38742215707617,verticle_right
76,12779_1.jpg,23.45902408146156,horizontal_left
77,13015_1.jpg,-48.366460663429805,verticle_right
78,15371_1.jpg,59.57421619803874,verticle_left
79,15389_1.jpg,-57.5876933816488,verticle_right
80,13523_1.jpg,56.97613244420336,verticle_left
81,02575.jpg,-12.425942865427485,horizonal_right
82,16887_1.jpg,46.08092418666069,verticle_left
83,13132_1.jpg,-56.309932474020215,verticle_right
84,03753.jpg,-81.86989764584403,verticle_right
85,16283_1.jpg,34.15969454566944,horizontal_left
86,07470.jpg,-25.60218755144178,horizonal_right
87,13872_1.jpg,58.902687114220555,verticle_left
88,07017.jpg,87.27368900609373,verticle_left
89,09361.jpg,79.2157021324374,verticle_left
90,17051_1.jpg,-26.95217893122894,horizonal_right
91,15627_1.jpg,25.426874169589805,horizontal_left
92,11814_1.jpg,62.35402463626132,verticle_left
93,09845.jpg,-29.134292197226177,horizonal_right
94,08903.jpg,-66.03751102542182,verticle_right
95,07880.jpg,-74.05460409907715,verticle_right
96,02687.jpg,-17.744671625056935,horizonal_right
97,15720_1.jpg,66.80140948635182,verticle_left
98,02793.jpg,80.09581678702614,verticle_left
99,12062_1.jpg,-60.94539590092286,verticle_right
100,09794.jpg,-66.80140948635182,verticle_right
101,09985.jpg,-27.89727103094763,horizonal_right
102,00199.jpg,-33.690067525979785,horizonal_right
103,10590_1.jpg,-80.09581678702614,verticle_right
104,00026.jpg,31.551384948313483,horizontal_left
105,02478.jpg,-18.43494882292201,horizonal_right
106,01429.jpg,-38.23382517744694,horizonal_right
107,00240.jpg,-25.769327624338718,horizonal_right
108,11789_1.jpg,-74.05460409907715,verticle_right
109,11031_1.jpg,62.65012421993013,verticle_left
110,15680_1.jpg,-32.41230661835121,horizonal_right
111,04184.jpg,-33.05582281155367,horizonal_right
112,15777_1.jpg,82.76307797403199,verticle_left
113,06706.jpg,-33.17851165939275,horizonal_right
114,01923.jpg,35.180699361242105,horizontal_left
115,04776.jpg,-41.05481377096244,horizonal_right
116,16465_1.jpg,-72.38742215707617,verticle_right
117,18374_1.jpg,60.94539590092286,verticle_left
118,16860_1.jpg,67.5741380786482,verticle_left
119,12725_1.jpg,28.12373538328881,horizontal_left
120,00417.jpg,66.21796957677863,verticle_left
